rule_level,is_external_ip,is_ssh,is_bruteforce,is_web_attack,is_suricata,dstport,label
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
10,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
8,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
10,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
10,0,0,0,0,0,0,0
3,1,0,0,0,1,60508,0
6,1,0,0,0,0,0,0
3,1,0,0,0,1,60508,0
6,1,0,0,0,0,0,0
3,1,0,0,0,1,443,0
3,1,0,0,0,1,443,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0
3,1,0,0,0,1,50948,0
3,1,0,0,0,1,50948,0
3,1,0,0,0,1,443,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,443,0
3,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
10,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
3,1,0,0,0,1,80,0
3,1,0,0,0,1,80,0
6,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
